country,admin_1,market,latitude,longitude,period_date,currency,product,value
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-10-27,ETB,livestock_goat,6500.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-11-03,ETB,livestock_goat,6120.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-11-10,ETB,livestock_goat,6260.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-11-17,ETB,livestock_goat,7020.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-11-24,ETB,livestock_goat,6460.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-12-01,ETB,livestock_goat,6060.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-12-08,ETB,livestock_goat,5920.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-12-15,ETB,livestock_goat,6380.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-12-22,ETB,livestock_goat,6420.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2021-12-29,ETB,livestock_goat,6540.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-01-05,ETB,livestock_goat,6920.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-01-12,ETB,livestock_goat,7020.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-01-19,ETB,livestock_goat,6800.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-01-26,ETB,livestock_goat,6880.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-02-02,ETB,livestock_goat,6940.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-02-09,ETB,livestock_goat,7040.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-02-16,ETB,livestock_goat,7000.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-02-23,ETB,livestock_goat,6900.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-03-02,ETB,livestock_goat,7260.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-03-09,ETB,livestock_goat,6840.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-03-16,ETB,livestock_goat,7000.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-03-23,ETB,livestock_goat,7060.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-03-30,ETB,livestock_goat,7140.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-04-06,ETB,livestock_goat,7540.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-04-13,ETB,livestock_goat,7420.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-04-20,ETB,livestock_goat,7100.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-04-27,ETB,livestock_goat,8040.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-05-04,ETB,livestock_goat,7920.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-05-11,ETB,livestock_goat,7820.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-05-18,ETB,livestock_goat,7780.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-05-25,ETB,livestock_goat,7360.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-06-01,ETB,livestock_goat,7440.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-06-08,ETB,livestock_goat,7580.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-06-15,ETB,livestock_goat,7620.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-06-22,ETB,livestock_goat,7600.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-06-29,ETB,livestock_goat,7000.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-07-06,ETB,livestock_goat,7000.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-07-13,ETB,livestock_goat,7580.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-07-20,ETB,livestock_goat,7640.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-07-27,ETB,livestock_goat,7720.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-08-03,ETB,livestock_goat,7700.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-08-10,ETB,livestock_goat,7500.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-08-17,ETB,livestock_goat,7760.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-08-24,ETB,livestock_goat,7960.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-08-31,ETB,livestock_goat,8000.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-09-07,ETB,livestock_goat,8140.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-09-14,ETB,livestock_goat,8540.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-09-21,ETB,livestock_goat,8160.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-09-28,ETB,livestock_goat,8300.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-10-05,ETB,livestock_goat,8260.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-10-12,ETB,livestock_goat,8500.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-10-19,ETB,livestock_goat,8040.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-10-26,ETB,livestock_goat,8220.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-11-02,ETB,livestock_goat,7920.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-11-09,ETB,livestock_goat,7820.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-11-16,ETB,livestock_goat,7560.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-11-23,ETB,livestock_goat,7660.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-11-30,ETB,livestock_goat,7140.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-12-07,ETB,livestock_goat,7100.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-12-14,ETB,livestock_goat,7140.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-12-21,ETB,livestock_goat,7000.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2022-12-28,ETB,livestock_goat,7520.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-01-04,ETB,livestock_goat,7740.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-01-11,ETB,livestock_goat,8400.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-01-18,ETB,livestock_goat,8320.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-01-25,ETB,livestock_goat,8240.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-02-01,ETB,livestock_goat,8200.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-02-08,ETB,livestock_goat,8700.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-02-15,ETB,livestock_goat,8680.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-02-22,ETB,livestock_goat,9040.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-03-01,ETB,livestock_goat,8400.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-03-08,ETB,livestock_goat,8340.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-03-15,ETB,livestock_goat,8140.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-03-22,ETB,livestock_goat,8080.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-03-29,ETB,livestock_goat,8020.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-04-05,ETB,livestock_goat,7940.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-04-12,ETB,livestock_goat,8080.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-04-19,ETB,livestock_goat,8600.0
Ethiopia,Addis Ababa,"Addis Ababa, Merkato",9.03333,38.7667,2023-04-26,ETB,livestock_goat,8500.0
